epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.56408,1.92913,5.48366,1.6322,0,0,0,0,1.59601,5.10787,1.49401,4.448e-05,4.448e-05,4.448e-05
2,17.029,1.63988,4.60566,1.45493,0.00915,0.01405,0.0141,0.01127,1.45238,4.33419,1.39602,8.73684e-05,8.73684e-05,8.73684e-05
3,25.5909,1.47085,3.73733,1.31624,0.01375,0.07134,0.04344,0.03189,1.35264,3.90403,1.26101,0.000127229,0.000127229,0.000127229
4,34.3216,1.37973,3.54094,1.22234,0.74373,0.09093,0.1062,0.07403,1.15554,2.83327,1.1372,0.000125239,0.000125239,0.000125239
5,42.9732,1.27864,3.11835,1.17756,0.70101,0.17584,0.17693,0.12899,1.10564,2.50267,1.10062,0.000120652,0.000120652,0.000120652
6,51.6192,1.20778,2.83286,1.14877,0.72541,0.24674,0.24959,0.18063,1.04458,2.07644,1.08175,0.000116065,0.000116065,0.000116065
7,60.2999,1.14751,2.52077,1.09338,0.76903,0.27116,0.30396,0.22012,0.99484,1.81041,1.0383,0.000111478,0.000111478,0.000111478
8,69.0197,1.12424,2.36015,1.09465,0.71765,0.37928,0.43093,0.31744,0.9663,1.54185,1.00987,0.000106891,0.000106891,0.000106891
9,77.716,1.09963,2.15305,1.07182,0.76026,0.44527,0.48676,0.35447,0.95525,1.36829,1.00013,0.000102304,0.000102304,0.000102304
10,86.479,1.05689,1.97398,1.04666,0.81553,0.46352,0.54248,0.3983,0.93293,1.27074,0.99102,9.7717e-05,9.7717e-05,9.7717e-05
11,95.1804,1.06285,1.86203,1.0476,0.82716,0.53601,0.61538,0.44776,0.92679,1.16389,0.98457,9.313e-05,9.313e-05,9.313e-05
12,103.877,1.02915,1.74622,1.02291,0.87255,0.57267,0.66428,0.48623,0.89422,1.08867,0.97262,8.8543e-05,8.8543e-05,8.8543e-05
13,112.541,0.99541,1.60538,1.01397,0.85815,0.62225,0.69452,0.50192,0.89158,1.02883,0.97057,8.3956e-05,8.3956e-05,8.3956e-05
14,121.203,0.99723,1.52952,1.00831,0.81712,0.69648,0.73136,0.52928,0.87989,0.95606,0.96078,7.9369e-05,7.9369e-05,7.9369e-05
15,129.883,0.97757,1.47638,1.00356,0.86963,0.70521,0.76608,0.55978,0.87372,0.88074,0.95551,7.4782e-05,7.4782e-05,7.4782e-05
16,138.672,0.98751,1.4375,1.00292,0.88625,0.71444,0.7827,0.5764,0.85107,0.83881,0.94773,7.0195e-05,7.0195e-05,7.0195e-05
17,147.346,0.96478,1.3368,0.99098,0.87481,0.75804,0.80084,0.58885,0.85348,0.82853,0.94762,6.5608e-05,6.5608e-05,6.5608e-05
18,156.022,0.9494,1.31668,0.98676,0.88703,0.76565,0.8273,0.61186,0.83832,0.78427,0.94176,6.1021e-05,6.1021e-05,6.1021e-05
19,164.666,0.95635,1.2854,0.98747,0.90569,0.77762,0.8491,0.62783,0.83631,0.75609,0.94141,5.6434e-05,5.6434e-05,5.6434e-05
20,173.359,0.95932,1.236,0.98709,0.90652,0.80958,0.86623,0.64638,0.83232,0.74042,0.93923,5.1847e-05,5.1847e-05,5.1847e-05
21,196.162,0.93489,1.26684,0.99826,0.87751,0.83279,0.8705,0.63863,0.86087,0.75884,0.94664,4.726e-05,4.726e-05,4.726e-05
22,204.822,0.90003,1.20217,0.97971,0.89411,0.82875,0.87946,0.65103,0.83589,0.71646,0.93597,4.2673e-05,4.2673e-05,4.2673e-05
23,213.396,0.87344,1.14531,0.97063,0.90329,0.85044,0.88662,0.66051,0.82239,0.69879,0.93105,3.8086e-05,3.8086e-05,3.8086e-05
24,221.99,0.86294,1.1134,0.96444,0.90327,0.86856,0.89628,0.66671,0.82265,0.66877,0.93052,3.3499e-05,3.3499e-05,3.3499e-05
25,230.576,0.85556,1.09167,0.96505,0.91167,0.86281,0.89998,0.67078,0.81861,0.65229,0.92855,2.8912e-05,2.8912e-05,2.8912e-05
26,239.182,0.8531,1.08315,0.9612,0.91145,0.8689,0.90389,0.68108,0.80273,0.63973,0.92298,2.4325e-05,2.4325e-05,2.4325e-05
27,247.741,0.84186,1.06937,0.95529,0.9174,0.86851,0.90809,0.68583,0.81032,0.63517,0.92493,1.9738e-05,1.9738e-05,1.9738e-05
28,256.313,0.8482,1.0752,0.95794,0.91452,0.87738,0.91233,0.68934,0.80548,0.62471,0.92343,1.5151e-05,1.5151e-05,1.5151e-05
29,265.014,0.848,1.0656,0.94911,0.91282,0.87944,0.91472,0.69357,0.7972,0.62023,0.92073,1.0564e-05,1.0564e-05,1.0564e-05
30,273.627,0.82489,1.03416,0.94887,0.91742,0.87433,0.91558,0.69361,0.79817,0.61965,0.92083,5.977e-06,5.977e-06,5.977e-06
